customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,churn_flag,monthly_revenue,annualized_revenue,revenue_at_risk,tenure_band,charge_band,cohort_month
CUST-100033,Male,0,Yes,No,40,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),67.54,2728.52,No,0,67.54,810.48,0.0,25-48m,High,Established
CUST-100034,Male,1,No,Yes,64,No,Fiber optic,Two year,Yes,Electronic check,71.22,4558.07,No,0,71.22,854.64,0.0,49-72m,High,Loyal
CUST-100035,Male,0,Yes,No,5,Yes,No,One year,No,Mailed check,59.56,303.98,Yes,1,59.56,714.72,59.56,0-12m,Mid,Recent
CUST-100036,Male,1,Yes,No,62,Yes,DSL,One year,Yes,Mailed check,81.57,5092.73,No,0,81.57,978.8399999999999,0.0,49-72m,Premium,Loyal
CUST-100037,Male,0,Yes,No,60,Yes,No,Month-to-month,Yes,Electronic check,18.0,1105.32,Yes,1,18.0,216.0,18.0,49-72m,Low,Loyal
CUST-100038,Female,0,Yes,Yes,20,Yes,Fiber optic,Month-to-month,Yes,Electronic check,75.67,1529.11,No,0,75.67,908.04,0.0,13-24m,High,Developing
CUST-100039,Female,0,Yes,Yes,46,Yes,Fiber optic,Month-to-month,No,Electronic check,55.56,2556.49,Yes,1,55.56,666.72,55.56,25-48m,Mid,Established
CUST-100040,Female,0,No,Yes,12,Yes,No,Month-to-month,No,Credit card (automatic),29.99,344.03,No,0,29.99,359.88,0.0,0-12m,Low,Recent
CUST-100041,Male,0,Yes,Yes,55,Yes,Fiber optic,Month-to-month,No,Mailed check,80.07,4422.95,No,0,80.07,960.8399999999999,0.0,49-72m,High,Loyal
CUST-100042,Female,0,No,No,51,No,DSL,Month-to-month,Yes,Credit card (automatic),107.35,5478.61,No,0,107.35,1288.1999999999998,0.0,49-72m,Premium,Loyal
CUST-100043,Male,0,Yes,No,26,Yes,No,Month-to-month,Yes,Bank transfer (automatic),36.89,1055.11,Yes,1,36.89,442.68,36.89,25-48m,Low,Established
CUST-100044,Male,0,Yes,Yes,5,Yes,DSL,Month-to-month,Yes,Bank transfer (automatic),113.4,614.28,No,0,113.4,1360.8000000000002,0.0,0-12m,Premium,Recent
CUST-100045,Male,1,No,No,70,No,Fiber optic,Month-to-month,No,Credit card (automatic),45.87,3180.56,Yes,1,45.87,550.4399999999999,45.87,49-72m,Low,Loyal
CUST-100046,Male,0,No,Yes,33,Yes,DSL,Two year,Yes,Bank transfer (automatic),89.1,2887.67,No,0,89.1,1069.1999999999998,0.0,25-48m,Premium,Established
CUST-100047,Male,0,Yes,No,65,Yes,Fiber optic,Month-to-month,No,Electronic check,79.48,5148.28,No,0,79.48,953.76,0.0,49-72m,High,Loyal
CUST-100048,Male,0,Yes,No,49,No,Fiber optic,Month-to-month,Yes,Mailed check,74.59,3606.16,No,0,74.59,895.08,0.0,49-72m,High,Loyal
CUST-100049,Female,1,No,No,57,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),100.43,5703.89,No,0,100.43,1205.16,0.0,49-72m,Premium,Loyal
CUST-100050,Male,1,Yes,Yes,55,Yes,No,Month-to-month,Yes,Electronic check,28.0,1496.37,Yes,1,28.0,336.0,28.0,49-72m,Low,Loyal
CUST-100051,Male,1,No,No,15,Yes,DSL,Month-to-month,No,Electronic check,98.11,1456.93,Yes,1,98.11,1177.32,98.11,13-24m,Premium,Developing
CUST-100052,Female,0,No,No,27,Yes,Fiber optic,One year,No,Electronic check,65.42,1752.16,Yes,1,65.42,785.04,65.42,25-48m,High,Established
CUST-100053,Female,0,Yes,Yes,34,Yes,Fiber optic,Two year,No,Bank transfer (automatic),47.87,1634.2,Yes,1,47.87,574.4399999999999,47.87,25-48m,Mid,Established
CUST-100054,Male,1,No,Yes,36,Yes,DSL,Month-to-month,No,Mailed check,40.81,1459.85,No,0,40.81,489.72,0.0,25-48m,Low,Established
CUST-100055,Female,1,Yes,No,4,Yes,No,One year,Yes,Electronic check,76.88,266.92,No,0,76.88,922.56,0.0,0-12m,High,Recent
CUST-100056,Male,0,No,Yes,40,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),95.11,3859.07,Yes,1,95.11,1141.32,95.11,25-48m,Premium,Established
CUST-100057,Male,0,No,No,12,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),59.48,731.89,Yes,1,59.48,713.76,59.48,0-12m,Mid,Recent
CUST-100058,Female,1,No,Yes,54,Yes,No,Month-to-month,Yes,Bank transfer (automatic),54.0,2891.5,Yes,1,54.0,648.0,54.0,49-72m,Mid,Loyal
CUST-100059,Female,0,No,Yes,50,Yes,No,Month-to-month,Yes,Electronic check,44.79,2199.62,Yes,1,44.79,537.48,44.79,49-72m,Low,Loyal
CUST-100060,Female,0,No,No,67,Yes,No,One year,Yes,Credit card (automatic),34.24,2228.05,No,0,34.24,410.88,0.0,49-72m,Low,Loyal
CUST-100061,Male,1,Yes,No,54,Yes,Fiber optic,One year,No,Electronic check,91.22,4856.56,Yes,1,91.22,1094.6399999999999,91.22,49-72m,Premium,Loyal
CUST-100062,Male,0,Yes,Yes,27,Yes,Fiber optic,One year,No,Bank transfer (automatic),56.24,1565.62,Yes,1,56.24,674.88,56.24,25-48m,Mid,Established
CUST-100063,Male,0,Yes,Yes,70,No,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),21.78,1566.96,Yes,1,21.78,261.36,21.78,49-72m,Low,Loyal
CUST-100064,Male,0,Yes,No,30,Yes,Fiber optic,One year,No,Electronic check,75.72,2245.31,No,0,75.72,908.64,0.0,25-48m,High,Established
CUST-100065,Female,0,No,No,24,Yes,No,Month-to-month,Yes,Mailed check,43.47,1104.76,Yes,1,43.47,521.64,43.47,13-24m,Low,Developing
CUST-100066,Male,0,Yes,No,66,Yes,Fiber optic,Month-to-month,Yes,Electronic check,56.95,3786.45,Yes,1,56.95,683.4000000000001,56.95,49-72m,Mid,Loyal
CUST-100067,Male,0,No,Yes,27,Yes,DSL,Month-to-month,No,Mailed check,50.37,1369.14,No,0,50.37,604.4399999999999,0.0,25-48m,Mid,Established
CUST-100068,Female,0,Yes,No,6,Yes,No,One year,Yes,Bank transfer (automatic),18.0,146.79,No,0,18.0,216.0,0.0,0-12m,Low,Recent
CUST-100069,Female,0,Yes,Yes,34,Yes,No,Two year,Yes,Mailed check,26.02,912.51,No,0,26.02,312.24,0.0,25-48m,Low,Established
CUST-100070,Female,0,Yes,Yes,58,Yes,DSL,Month-to-month,Yes,Bank transfer (automatic),50.74,2949.84,No,0,50.74,608.88,0.0,49-72m,Mid,Loyal
CUST-100071,Female,1,No,No,14,No,No,Month-to-month,Yes,Credit card (automatic),63.22,874.28,No,0,63.22,758.64,0.0,13-24m,Mid,Developing
CUST-100072,Female,0,Yes,Yes,34,Yes,Fiber optic,One year,Yes,Electronic check,81.36,2761.42,No,0,81.36,976.3199999999999,0.0,25-48m,Premium,Established
CUST-100073,Female,0,Yes,No,10,Yes,Fiber optic,Two year,Yes,Mailed check,51.34,441.04,Yes,1,51.34,616.08,51.34,0-12m,Mid,Recent
CUST-100074,Female,0,Yes,No,50,Yes,Fiber optic,Month-to-month,Yes,Electronic check,81.5,4038.97,Yes,1,81.5,978.0,81.5,49-72m,Premium,Loyal
CUST-100075,Female,0,No,No,35,Yes,No,One year,No,Bank transfer (automatic),39.64,1468.41,Yes,1,39.64,475.68,39.64,25-48m,Low,Established
CUST-100076,Female,0,Yes,No,24,Yes,No,One year,Yes,Electronic check,36.07,828.44,No,0,36.07,432.84000000000003,0.0,13-24m,Low,Developing
CUST-100077,Female,0,No,Yes,17,Yes,Fiber optic,Two year,No,Credit card (automatic),60.79,950.15,No,0,60.79,729.48,0.0,13-24m,Mid,Developing
CUST-100078,Female,0,Yes,No,41,Yes,Fiber optic,Month-to-month,No,Mailed check,108.97,4508.45,Yes,1,108.97,1307.6399999999999,108.97,25-48m,Premium,Established
CUST-100079,Female,0,Yes,No,49,Yes,Fiber optic,Two year,Yes,Bank transfer (automatic),76.17,3743.52,No,0,76.17,914.04,0.0,49-72m,High,Loyal
CUST-100080,Female,0,No,No,68,Yes,Fiber optic,Month-to-month,Yes,Electronic check,63.43,4326.96,Yes,1,63.43,761.16,63.43,49-72m,High,Loyal
CUST-100081,Male,0,No,Yes,32,Yes,No,Two year,Yes,Mailed check,53.66,1710.03,No,0,53.66,643.92,0.0,25-48m,Mid,Established
CUST-100082,Female,0,No,No,12,Yes,Fiber optic,Month-to-month,No,Electronic check,88.87,1107.42,Yes,1,88.87,1066.44,88.87,0-12m,Premium,Recent
CUST-100083,Male,0,Yes,No,60,Yes,DSL,Month-to-month,No,Bank transfer (automatic),75.71,4611.44,No,0,75.71,908.52,0.0,49-72m,High,Loyal
CUST-100084,Male,0,No,No,46,Yes,DSL,Month-to-month,Yes,Electronic check,62.77,2863.95,No,0,62.77,753.24,0.0,25-48m,Mid,Established
CUST-100085,Female,0,No,No,51,Yes,Fiber optic,Month-to-month,Yes,Electronic check,61.32,3155.8,No,0,61.32,735.84,0.0,49-72m,Mid,Loyal
CUST-100086,Female,0,No,Yes,8,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),46.35,421.13,Yes,1,46.35,556.2,46.35,0-12m,Low,Recent
CUST-100087,Male,0,Yes,No,23,Yes,No,Month-to-month,No,Bank transfer (automatic),45.97,1031.31,Yes,1,45.97,551.64,45.97,13-24m,Low,Developing
CUST-100088,Male,0,Yes,Yes,56,Yes,DSL,Month-to-month,Yes,Mailed check,56.58,3236.41,Yes,1,56.58,678.96,56.58,49-72m,Mid,Loyal
CUST-100089,Female,0,Yes,Yes,60,Yes,Fiber optic,Month-to-month,Yes,Mailed check,60.39,3673.58,No,0,60.39,724.6800000000001,0.0,49-72m,Mid,Loyal
CUST-100090,Male,0,No,No,32,Yes,Fiber optic,One year,Yes,Mailed check,83.73,2623.47,No,0,83.73,1004.76,0.0,25-48m,Premium,Established
CUST-100091,Male,0,No,Yes,58,Yes,No,Two year,No,Credit card (automatic),71.12,4196.73,No,0,71.12,853.44,0.0,49-72m,High,Loyal
CUST-100092,Male,0,Yes,No,61,Yes,No,One year,Yes,Mailed check,50.23,3010.5,No,0,50.23,602.76,0.0,49-72m,Mid,Loyal
CUST-100093,Female,0,Yes,Yes,28,Yes,DSL,Month-to-month,Yes,Credit card (automatic),67.69,1864.38,Yes,1,67.69,812.28,67.69,25-48m,High,Established
CUST-100094,Female,0,Yes,No,65,Yes,DSL,Month-to-month,Yes,Electronic check,69.59,4554.11,Yes,1,69.59,835.08,69.59,49-72m,High,Loyal
CUST-100095,Female,1,Yes,No,21,Yes,No,Two year,No,Electronic check,59.04,1286.71,No,0,59.04,708.48,0.0,13-24m,Mid,Developing
CUST-100096,Male,0,No,No,18,Yes,Fiber optic,Month-to-month,Yes,Mailed check,78.53,1417.98,No,0,78.53,942.36,0.0,13-24m,High,Developing
CUST-100097,Male,0,Yes,No,50,Yes,DSL,Month-to-month,Yes,Electronic check,74.26,3684.66,No,0,74.26,891.1200000000001,0.0,49-72m,High,Loyal
CUST-100098,Female,0,Yes,Yes,46,Yes,Fiber optic,Two year,Yes,Bank transfer (automatic),67.82,3108.01,No,0,67.82,813.8399999999999,0.0,25-48m,High,Established
CUST-100099,Female,0,Yes,No,11,Yes,DSL,Two year,No,Mailed check,30.57,319.24,Yes,1,30.57,366.84000000000003,30.57,0-12m,Low,Recent
CUST-100100,Female,0,Yes,No,60,Yes,No,Month-to-month,Yes,Mailed check,50.59,3073.25,No,0,50.59,607.08,0.0,49-72m,Mid,Loyal
CUST-100101,Female,0,No,No,15,Yes,No,One year,No,Bank transfer (automatic),22.75,322.99,No,0,22.75,273.0,0.0,13-24m,Low,Developing
CUST-100102,Female,0,Yes,Yes,58,Yes,DSL,Month-to-month,No,Electronic check,78.68,4534.11,No,0,78.68,944.1600000000001,0.0,49-72m,High,Loyal
CUST-100103,Female,0,No,Yes,1,Yes,DSL,One year,No,Mailed check,53.83,53.83,Yes,1,53.83,645.96,53.83,0-12m,Mid,Recent
CUST-100104,Male,0,No,No,58,Yes,No,Month-to-month,No,Credit card (automatic),55.01,3163.84,Yes,1,55.01,660.12,55.01,49-72m,Mid,Loyal
CUST-100105,Male,0,No,No,57,Yes,No,Month-to-month,Yes,Bank transfer (automatic),38.63,2196.58,Yes,1,38.63,463.56000000000006,38.63,49-72m,Low,Loyal
CUST-100106,Male,0,Yes,No,57,Yes,DSL,One year,Yes,Bank transfer (automatic),44.8,2502.73,No,0,44.8,537.5999999999999,0.0,49-72m,Low,Loyal
CUST-100107,Male,0,No,No,48,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),63.61,2974.77,Yes,1,63.61,763.3199999999999,63.61,25-48m,High,Established
CUST-100108,Male,0,No,No,34,Yes,Fiber optic,One year,No,Mailed check,118.53,4074.12,Yes,1,118.53,1422.3600000000001,118.53,25-48m,Premium,Established
CUST-100109,Female,1,Yes,No,51,Yes,No,Month-to-month,No,Credit card (automatic),18.0,872.98,Yes,1,18.0,216.0,18.0,49-72m,Low,Loyal
CUST-100110,Male,0,No,No,20,Yes,DSL,Two year,Yes,Credit card (automatic),65.66,1254.28,No,0,65.66,787.92,0.0,13-24m,High,Developing
CUST-100111,Male,0,Yes,No,57,Yes,DSL,Two year,No,Mailed check,39.77,2337.52,No,0,39.77,477.24,0.0,49-72m,Low,Loyal
CUST-100112,Female,1,Yes,No,41,Yes,DSL,Month-to-month,Yes,Credit card (automatic),100.29,4150.08,No,0,100.29,1203.48,0.0,25-48m,Premium,Established
CUST-100113,Male,1,Yes,No,34,Yes,Fiber optic,One year,Yes,Electronic check,87.96,3036.79,No,0,87.96,1055.52,0.0,25-48m,Premium,Established
CUST-100114,Female,0,No,Yes,37,Yes,Fiber optic,Month-to-month,Yes,Mailed check,74.09,2764.06,Yes,1,74.09,889.08,74.09,25-48m,High,Established
CUST-100115,Female,0,Yes,Yes,41,No,DSL,Month-to-month,Yes,Mailed check,90.18,3756.39,No,0,90.18,1082.16,0.0,25-48m,Premium,Established
CUST-100116,Female,0,Yes,No,3,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),75.38,265.89,Yes,1,75.38,904.56,75.38,0-12m,High,Recent
CUST-100117,Male,1,Yes,No,11,Yes,DSL,Two year,Yes,Bank transfer (automatic),62.13,667.93,No,0,62.13,745.5600000000001,0.0,0-12m,Mid,Recent
CUST-100118,Female,0,Yes,Yes,18,Yes,DSL,Two year,Yes,Mailed check,48.83,831.01,No,0,48.83,585.96,0.0,13-24m,Mid,Developing
CUST-100119,Female,0,Yes,Yes,9,Yes,No,Two year,No,Mailed check,26.06,176.8,No,0,26.06,312.71999999999997,0.0,0-12m,Low,Recent
CUST-100120,Male,0,No,Yes,32,Yes,Fiber optic,Two year,No,Bank transfer (automatic),51.79,1650.99,No,0,51.79,621.48,0.0,25-48m,Mid,Established
CUST-100121,Male,0,Yes,No,49,No,DSL,Two year,No,Mailed check,62.23,2999.77,No,0,62.23,746.76,0.0,49-72m,Mid,Loyal
CUST-100122,Female,0,No,No,48,Yes,Fiber optic,Month-to-month,No,Mailed check,28.37,1325.86,No,0,28.37,340.44,0.0,25-48m,Low,Established
CUST-100123,Female,0,No,No,34,Yes,Fiber optic,Two year,No,Mailed check,84.65,2871.25,No,0,84.65,1015.8000000000001,0.0,25-48m,Premium,Established
CUST-100124,Female,0,No,No,62,Yes,Fiber optic,One year,No,Credit card (automatic),112.83,7058.36,Yes,1,112.83,1353.96,112.83,49-72m,Premium,Loyal
CUST-100125,Male,0,No,Yes,41,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),60.49,2412.11,No,0,60.49,725.88,0.0,25-48m,Mid,Established
CUST-100126,Female,1,Yes,Yes,6,Yes,No,One year,Yes,Electronic check,67.85,408.44,No,0,67.85,814.1999999999999,0.0,0-12m,High,Recent
CUST-100127,Male,0,No,No,56,Yes,No,Month-to-month,No,Credit card (automatic),39.05,2130.49,Yes,1,39.05,468.59999999999997,39.05,49-72m,Low,Loyal
CUST-100128,Female,0,Yes,No,42,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),56.75,2358.46,Yes,1,56.75,681.0,56.75,25-48m,Mid,Established
CUST-100129,Female,0,Yes,No,46,Yes,No,Month-to-month,No,Mailed check,33.6,1587.44,No,0,33.6,403.20000000000005,0.0,25-48m,Low,Established
CUST-100130,Female,0,Yes,Yes,41,Yes,DSL,Month-to-month,Yes,Bank transfer (automatic),71.89,2909.31,No,0,71.89,862.6800000000001,0.0,25-48m,High,Established
CUST-100131,Male,0,No,No,40,Yes,DSL,Month-to-month,Yes,Electronic check,54.13,2153.35,No,0,54.13,649.5600000000001,0.0,25-48m,Mid,Established
CUST-100132,Female,0,No,Yes,7,Yes,No,Two year,Yes,Electronic check,47.34,337.73,Yes,1,47.34,568.08,47.34,0-12m,Mid,Recent
CUST-100133,Male,0,Yes,No,41,Yes,DSL,One year,No,Mailed check,58.58,2433.33,No,0,58.58,702.96,0.0,25-48m,Mid,Established
CUST-100134,Male,0,No,No,58,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),46.39,2665.96,No,0,46.39,556.6800000000001,0.0,49-72m,Low,Loyal
CUST-100135,Male,0,Yes,No,22,Yes,Fiber optic,Month-to-month,Yes,Mailed check,69.56,1587.06,Yes,1,69.56,834.72,69.56,13-24m,High,Developing
CUST-100136,Female,0,Yes,No,44,Yes,DSL,Month-to-month,Yes,Mailed check,54.73,2388.09,No,0,54.73,656.76,0.0,25-48m,Mid,Established
CUST-100137,Male,0,Yes,No,3,Yes,No,Month-to-month,Yes,Credit card (automatic),34.8,126.2,Yes,1,34.8,417.59999999999997,34.8,0-12m,Low,Recent
CUST-100138,Male,0,No,No,26,Yes,DSL,Two year,Yes,Credit card (automatic),60.81,1572.51,No,0,60.81,729.72,0.0,25-48m,Mid,Established
CUST-100139,Female,0,Yes,No,32,Yes,Fiber optic,Month-to-month,No,Mailed check,40.53,1330.3,No,0,40.53,486.36,0.0,25-48m,Low,Established
CUST-100140,Female,0,Yes,No,71,Yes,Fiber optic,One year,Yes,Electronic check,102.1,7340.34,No,0,102.1,1225.1999999999998,0.0,49-72m,Premium,Loyal
CUST-100141,Female,1,Yes,No,16,Yes,No,One year,No,Bank transfer (automatic),59.88,945.59,No,0,59.88,718.5600000000001,0.0,13-24m,Mid,Developing
CUST-100142,Female,0,No,No,20,No,Fiber optic,One year,Yes,Bank transfer (automatic),56.14,1122.08,No,0,56.14,673.6800000000001,0.0,13-24m,Mid,Developing
CUST-100143,Male,0,No,No,30,Yes,DSL,Two year,No,Credit card (automatic),61.58,1827.96,No,0,61.58,738.96,0.0,25-48m,Mid,Established
CUST-100144,Female,0,Yes,No,72,Yes,DSL,Month-to-month,No,Credit card (automatic),83.99,6020.91,No,0,83.99,1007.8799999999999,0.0,49-72m,Premium,Loyal
CUST-100145,Male,0,No,No,62,Yes,Fiber optic,Two year,No,Bank transfer (automatic),66.59,4097.11,No,0,66.59,799.08,0.0,49-72m,High,Loyal
CUST-100146,Male,1,No,Yes,3,Yes,Fiber optic,One year,No,Electronic check,111.36,333.24,Yes,1,111.36,1336.32,111.36,0-12m,Premium,Recent
CUST-100147,Female,1,Yes,No,17,Yes,Fiber optic,Two year,Yes,Electronic check,56.75,929.79,Yes,1,56.75,681.0,56.75,13-24m,Mid,Developing
CUST-100148,Female,0,Yes,No,60,Yes,Fiber optic,One year,Yes,Bank transfer (automatic),96.16,5736.0,No,0,96.16,1153.92,0.0,49-72m,Premium,Loyal
CUST-100149,Male,1,No,Yes,5,Yes,DSL,Two year,Yes,Bank transfer (automatic),32.64,63.2,Yes,1,32.64,391.68,32.64,0-12m,Low,Recent
CUST-100150,Male,0,Yes,Yes,62,Yes,DSL,Two year,Yes,Mailed check,36.02,2295.56,No,0,36.02,432.24,0.0,49-72m,Low,Loyal
CUST-100151,Male,1,Yes,Yes,21,Yes,Fiber optic,Month-to-month,Yes,Mailed check,107.06,2322.23,Yes,1,107.06,1284.72,107.06,13-24m,Premium,Developing
CUST-100152,Male,0,No,No,67,Yes,DSL,Two year,Yes,Bank transfer (automatic),52.5,3546.69,No,0,52.5,630.0,0.0,49-72m,Mid,Loyal
CUST-100153,Female,0,No,Yes,22,Yes,Fiber optic,One year,No,Mailed check,44.32,935.72,No,0,44.32,531.84,0.0,13-24m,Low,Developing
CUST-100154,Male,0,No,No,32,Yes,Fiber optic,Month-to-month,Yes,Electronic check,68.95,2149.54,No,0,68.95,827.4000000000001,0.0,25-48m,High,Established
CUST-100155,Female,0,No,Yes,48,Yes,DSL,Two year,Yes,Credit card (automatic),89.81,4240.48,No,0,89.81,1077.72,0.0,25-48m,Premium,Established
CUST-100156,Male,0,Yes,Yes,10,Yes,DSL,Month-to-month,Yes,Mailed check,53.2,560.76,Yes,1,53.2,638.4000000000001,53.2,0-12m,Mid,Recent
CUST-100157,Male,0,No,Yes,41,Yes,DSL,One year,Yes,Mailed check,69.08,2889.22,No,0,69.08,828.96,0.0,25-48m,High,Established
CUST-100158,Male,0,Yes,Yes,37,Yes,Fiber optic,Month-to-month,Yes,Electronic check,29.2,1087.87,No,0,29.2,350.4,0.0,25-48m,Low,Established
CUST-100159,Male,0,No,No,57,No,DSL,Month-to-month,No,Mailed check,59.69,3440.93,No,0,59.69,716.28,0.0,49-72m,Mid,Loyal
CUST-100160,Female,0,Yes,No,72,Yes,Fiber optic,Two year,Yes,Credit card (automatic),83.94,6063.7,No,0,83.94,1007.28,0.0,49-72m,Premium,Loyal
CUST-100161,Female,0,Yes,No,48,Yes,No,Month-to-month,No,Electronic check,24.74,1152.83,Yes,1,24.74,296.88,24.74,25-48m,Low,Established
CUST-100162,Male,0,Yes,No,30,Yes,DSL,Month-to-month,Yes,Electronic check,42.02,1306.03,Yes,1,42.02,504.24,42.02,25-48m,Low,Established
